fcitx-table-other	x/fcitx-table-other-0.2.4-i586-3.txz
fcitx-unikey	x/fcitx-unikey-0.2.7-i586-3.txz
fetchmail	n/fetchmail-6.4.27-i586-1.txz
ffmpeg	l/ffmpeg-4.4.1-i586-2.txz
ffmpegthumbnailer	xap/ffmpegthumbnailer-2.2.2-i586-3.txz
ffmpegthumbs	kde/ffmpegthumbs-21.12.1-i586-1.txz
fftw	l/fftw-3.3.10-i586-1.txz
fig2dev	t/fig2dev-3.2.8b-i586-1.txz
file	a/file-5.41-i586-1.txz
filelight	kde/filelight-21.12.1-i586-1.txz
findutils	a/findutils-4.8.0-i586-3.txz
flac	ap/flac-1.3.3-i586-3.txz
flex	d/flex-2.6.4-i586-5.txz
floppy	a/floppy-5.5-i586-4.txz
fluidsynth	l/fluidsynth-2.2.5-i586-1.txz
fluxbox	xap/fluxbox-1.3.7-i586-6.txz
font-adobe-100dpi	x/font-adobe-100dpi-1.0.3-noarch-5.txz
font-adobe-75dpi	x/font-adobe-75dpi-1.0.3-noarch-5.txz
font-adobe-utopia-100dpi	x/font-adobe-utopia-100dpi-1.0.4-noarch-5.txz
font-adobe-utopia-75dpi	x/font-adobe-utopia-75dpi-1.0.4-noarch-5.txz
font-adobe-utopia-type1	x/font-adobe-utopia-type1-1.0.4-noarch-5.txz
font-alias	x/font-alias-1.0.4-noarch-3.txz
font-arabic-misc	x/font-arabic-misc-1.0.3-noarch-5.txz
font-bh-100dpi	x/font-bh-100dpi-1.0.3-noarch-5.txz
font-bh-75dpi	x/font-bh-75dpi-1.0.3-noarch-5.txz
font-bh-lucidatypewriter-100dpi	x/font-bh-lucidatypewriter-100dpi-1.0.3-noarch-5.txz
font-bh-lucidatypewriter-75dpi	x/font-bh-lucidatypewriter-75dpi-1.0.3-noarch-5.txz
font-bh-ttf	x/font-bh-ttf-1.0.3-noarch-5.txz
font-bh-type1	x/font-bh-type1-1.0.3-noarch-5.txz
font-bitstream-100dpi	x/font-bitstream-100dpi-1.0.3-noarch-5.txz
font-bitstream-75dpi	x/font-bitstream-75dpi-1.0.3-noarch-5.txz
font-bitstream-speedo	x/font-bitstream-speedo-1.0.2-noarch-5.txz
font-bitstream-type1	x/font-bitstream-type1-1.0.3-noarch-5.txz
font-cronyx-cyrillic	x/font-cronyx-cyrillic-1.0.3-noarch-5.txz
font-cursor-misc	x/font-cursor-misc-1.0.3-noarch-5.txz
font-daewoo-misc	x/font-daewoo-misc-1.0.3-noarch-5.txz
font-dec-misc	x/font-dec-misc-1.0.3-noarch-5.txz
font-ibm-type1	x/font-ibm-type1-1.0.3-noarch-5.txz
font-isas-misc	x/font-isas-misc-1.0.3-noarch-5.txz
font-jis-misc	x/font-jis-misc-1.0.3-noarch-5.txz
font-micro-misc	x/font-micro-misc-1.0.3-noarch-5.txz
font-misc-cyrillic	x/font-misc-cyrillic-1.0.3-noarch-5.txz
font-misc-ethiopic	x/font-misc-ethiopic-1.0.4-noarch-3.txz
font-misc-meltho	x/font-misc-meltho-1.0.3-noarch-5.txz
font-misc-misc	x/font-misc-misc-1.1.2-noarch-5.txz
font-mutt-misc	x/font-mutt-misc-1.0.3-noarch-5.txz
font-schumacher-misc	x/font-schumacher-misc-1.1.2-noarch-5.txz
font-screen-cyrillic	x/font-screen-cyrillic-1.0.4-noarch-5.txz
font-sony-misc	x/font-sony-misc-1.0.3-noarch-5.txz
font-sun-misc	x/font-sun-misc-1.0.3-noarch-5.txz
font-util	x/font-util-1.3.2-i586-3.txz
font-winitzki-cyrillic	x/font-winitzki-cyrillic-1.0.3-noarch-5.txz
font-xfree86-type1	x/font-xfree86-type1-1.0.4-noarch-5.txz
fontconfig	x/fontconfig-2.13.92-i586-3.txz
fonttosfnt	x/fonttosfnt-1.2.2-i586-1.txz
frameworkintegration	kde/frameworkintegration-5.90.0-i586-1.txz
freecell-solver	l/freecell-solver-6.6.0-i586-1.txz
freeglut	x/freeglut-3.2.1-i586-3.txz
freerdp	xap/freerdp-2.5.0-i586-1.txz
freetype	l/freetype-2.11.1-i586-1.txz
frei0r-plugins	l/frei0r-plugins-1.7.0-i586-3.txz
fribidi	l/fribidi-1.0.11-i586-1.txz
fslsfonts	x/fslsfonts-1.0.5-i586-5.txz
fstobdf	x/fstobdf-1.0.6-i586-5.txz
fuse	l/fuse-2.9.9-i586-3.txz
fuse3	l/fuse3-3.10.5-i586-1.txz
fvwm	xap/fvwm-2.6.9-i586-4.txz
gamin	l/gamin-0.1.10-i586-9.txz
garcon	xfce/garcon-4.16.1-i586-3.txz
gawk	a/gawk-5.1.1-i586-1.txz
gc	l/gc-8.0.6-i586-1.txz
gcc	d/gcc-11.2.0-i586-2.txz
gcc-brig	d/gcc-brig-11.2.0-i586-2.txz
gcc-g++	d/gcc-g++-11.2.0-i586-2.txz
gcc-gdc	d/gcc-gdc-11.2.0-i586-2.txz
gcc-gfortran	d/gcc-gfortran-11.2.0-i586-2.txz
gcc-gnat	d/gcc-gnat-11.2.0-i586-2.txz
gcc-go	d/gcc-go-11.2.0-i586-2.txz
gcc-objc	d/gcc-objc-11.2.0-i586-2.txz
gccmakedep	x/gccmakedep-1.0.3-noarch-4.txz
gcr	l/gcr-3.40.0-i586-1.txz
gd	l/gd-2.3.3-i586-2.txz
gdb	d/gdb-11.2-i586-1.txz
gdbm	l/gdbm-1.22-i586-1.txz
gdk-pixbuf2	l/gdk-pixbuf2-2.42.6-i586-1.txz
gdk-pixbuf2-xlib	l/gdk-pixbuf2-xlib-2.40.2-i586-3.txz
geeqie	xap/geeqie-1.7.2-i586-1.txz
gegl	l/gegl-0.4.34-i586-2.txz
genpower	a/genpower-1.0.5-i586-5.txz
getmail	n/getmail-6.18.6-i586-1.txz
gettext	a/gettext-0.21-i586-3.txz
gettext-tools	d/gettext-tools-0.21-i586-3.txz
gexiv2	l/gexiv2-0.14.0-i586-3.txz
